,code,city
0,209,Acampo
1,209,Airport
2,209,Amador City
3,209,Angels
4,209,Arnold
5,209,Atwater
6,209,August
7,209,Avery
8,209,Ballico
9,209,Bear Creek
10,209,Bear Valley
11,209,Bootjack
12,209,Bret Harte
13,209,Buckhorn
14,209,Buck Meadows
15,209,Buena Vista
16,209,Bystrom
17,209,Camanche North Shore
18,209,Camanche Village
19,209,Catheys Valley
20,209,Cedar Ridge
21,209,Ceres
22,209,Chinese Camp
23,209,Clay
24,209,Cold Springs
25,209,Collierville
26,209,Columbia
27,209,Copperopolis
28,209,Coultervillle
29,209,Country Club
30,209,Cowan
31,209,Cressey
32,209,Crows Landing
33,209,Delhi
34,209,Del Rio
35,209,Denair
36,209,Diablo Grande
37,209,Dogtown
38,209,Dorrington
39,209,Dos Palos
40,209,Dos Palos Y
41,209,Drytown
42,209,East Oakdale
43,209,East Sonora
44,209,El Nido
45,209,El Portal
46,209,Empire
47,209,Escalon
48,209,Farmington
49,209,Fiddletown
50,209,Fish Camp
51,209,Forest Meadows
52,209,Franklin
53,209,French Camp
54,209,Galt
55,209,Garden Acres
56,209,Grayson
57,209,Greeley Hill
58,209,Groveland
59,209,Gustine
60,209,Herald
61,209,Hickman
62,209,Hilmar-Irwin
63,209,Hornitos
64,209,Hughson
65,209,Ione
66,209,Jackson
67,209,Jamestown
68,209,Kennedy
69,209,Keyes
70,209,Kirkwood
71,209,Lake Don Pedro
72,209,Lathrop
73,209,Le Grand
74,209,Lincoln Village
75,209,Linden
76,209,Livingston
77,209,Lockeford
78,209,Lodi
79,209,Long Barn
80,209,Los Banos
81,209,McSwain
82,209,Manteca
83,209,Mariposa
84,209,Martell
85,209,Merced
86,209,Midpines
87,209,Mi-Wuk Village
88,209,Modesto
89,209,Mokelumne Hill
90,209,Mono Vista
91,209,Monterey Park Tract
92,209,Morada
93,209,Mountain House
94,209,Mountain Ranch
95,209,Murphys
96,209,Newman
97,209,Oakdale
98,209,Parklawn
99,209,Patterson
100,209,Peters
101,209,Phoenix Lake
102,209,Pine Grove
103,209,Pine Mountain Lake
104,209,Pioneer
105,209,Planada
106,209,Plymouth
107,209,Rail Road Flat
108,209,Rancho Calaveras
109,209,Red Corral
110,209,Ripon
111,209,Riverbank
112,209,Riverdale Park
113,209,River Pines
114,209,Rouse
115,209,Salida
116,209,San Andreas
117,209,Santa Nella
118,209,Shackelford
119,209,Sierra Village
120,209,Snelling
121,209,Sonora
122,209,Soulsbyville
123,209,South Dos Palos
124,209,Stevinson
125,209,Stockton
126,209,Strawberry
127,209,Sutter Creek
128,209,Taft Mosswood
129,209,Terminous
130,209,Thornton
131,209,Tracy
132,209,Tuolumne City
133,209,Turlock
134,209,Tuttle
135,209,Tuttletown
136,209,Twain Harte
137,209,University of California Merced
138,209,Vallecito
139,209,Valley Home
140,209,Valley Springs
141,209,Victor
142,209,Volcano
143,209,Volta
144,209,Wallace
145,209,Waterford
146,209,Waterloo
147,209,Wawona
148,209,Westley
149,209,West Modesto
150,209,West Point
151,209,Winton
152,209,Woodbridge
153,209,Yosemite Valley
154,213,Bell
155,213,Bell Gardens
156,213,Commerce
157,213,Cudahy
158,213,East Los Angeles
159,213,Florence-Graham
160,213,Huntington Park
161,213,Ladera Heights
162,213,Los Angeles
163,213,Maywood
164,213,Montebello
165,213,Monterey Park
166,213,South Gate
167,213,South Pasadena
168,213,Vernon
169,213,View Park-Windsor Hills
170,213,Walnut Park
171,213,West Athens
172,213,West Hollywood
173,213,Westmont
174,213,Willowbrook
175,310,
176,310,Avalon
177,310,Beverly Hills
178,310,Carson
179,310,Compton
180,310,Culver City
181,310,Del Aire
182,310,East Rancho Dominguez
183,310,El Segundo
184,310,Gardena
185,310,Hawthorne
186,310,Hermosa Beach
187,310,Inglewood
188,310,Ladera Heights
189,310,Lawndale
190,310,Lennox
191,310,Lomita
192,310,Los Angeles
193,310,Lynwood
194,310,Malibu
195,310,Manhattan Beach
196,310,Marina del Rey
197,310,Palos Verdes Estates
198,310,Rancho Palos Verdes
199,310,Redondo Beach
200,310,Rolling Hills
201,310,Rolling Hills Estates
202,310,Santa Monica
203,310,Topanga
204,310,Torrance
205,310,West Carson
206,310,West Hollywood
207,310,West Rancho Dominguez
208,310,Willowbrook
209,408,Alum Rock
210,408,Burbank
211,408,Cambrian Park
212,408,Campbell
213,408,Cupertino
214,408,East Foothills
215,408,Fruitdale
216,408,Gilroy
217,408,Lexington Hills
218,408,Los Gatos
219,408,Milpitas
220,408,Monte Sereno
221,408,Morgan Hill
222,408,San Jose
223,408,San Martin
224,408,Santa Clara
225,408,Saratoga
226,408,Sunnyvale
227,415,Alto
228,415,Belvedere
229,415,Black Point-Green Point
230,415,Bolinas
231,415,Brisbane
232,415,Corte Madera
233,415,Fairfax
234,415,Inverness
235,415,Kentfield
236,415,Lagunitas-Forest Knolls
237,415,Larkspur
238,415,Lucas Valley-Marinwood
239,415,Marin City
240,415,Mill Valley
241,415,Muir Beach
242,415,Nicasio
243,415,Novato
244,415,Point Reyes Station
245,415,Ross
246,415,San Anselmo
247,415,San Francisco
248,415,San Geronimo
249,415,San Rafael
250,415,Santa Venetia
251,415,Sausalito
252,415,Sleepy Hollow
253,415,Stinson Beach
254,415,Strawberry
255,415,Tamalpais-Homestead Valley
256,415,Tiburon
257,415,Woodacre
258,510,Alameda
259,510,Albany
260,510,Ashland
261,510,Bayview
262,510,Berkeley
263,510,Castro Valley
264,510,Cherryland
265,510,Crockett
266,510,East Richmond Heights
267,510,El Cerrito
268,510,El Sobrante
269,510,Emeryville
270,510,Fairview
271,510,Fremont
272,510,Hayward
273,510,Hercules
274,510,Kensington
275,510,Montalvin Manor
276,510,Newark
277,510,North Richmond
278,510,Oakland
279,510,Piedmont
280,510,Pinole
281,510,Port Costa
282,510,Richmond
283,510,Rodeo
284,510,Rollingwood
285,510,San Leandro
286,510,San Lorenzo
