
club,personality,religion,race,gender,academic
FinTech,brogrammer,none,none,masculine,true
Mobile App Dev Club,normie,none,none,none,true
SLO Hacks,tryhard,none,none,none,true
SHPE,normie,none,hispanic,none,false
WISH,brogrammer,none,none,feminine,true
WISH,tryhard,none,none,feminine,true
Studio Art Club,alternative,none,none,none,false
American Indian Science & Engineering Society,normie,none,native american,none,false
Color Coded,normie,none,asian,none,false
Color Coded,normie,none,hispanic,none,false
Color Coded,normie,none,native american,none,false
Color Coded,normie,none,black,none,false
Game Development Club - Cal Poly,nerd,none,none,none,true
Society of Women Engineers,tryhard,none,none,feminine,false
White Hat,tryhard,none,none,none,true
Cru,normie,Christian,none,none,false
Hillel of SLO,normie,jewish,none,none,false
Newman Catholic Club,normie,catholic,none,none,false
Asian American Christian Fellowship,normie,christian,asain,none,false
Alliance of Happy Atheists,nerd,athiest,none,none,false
Chabad Student Group,normie,jewish,none,none,false
Christian Students,normie,christian,none,none,false
Muslim Students Association,normie,muslim,none,none,false
Black Student Union,tryhard,none,black,none,false
American Indian Students Association,tryhard,native american,none,none,false
National Society of Black Engineers,normie,black,none,none,false
Computer Science and Artificial Intelligence club,tryhard,none,none,none,true
Greek Week Committee,brogrammer,none,none,none,false
Music Appreciation Club,normie,none,none,none,false
Photography Club,normie,none,none,none,false
PolyCon Committee,nerd,none,none,none,false
Ukulele Club,stoner,none,none,none,false
Ukulele Club,alternative,none,none,none,false
Yu-Gi-Oh Club,nerd,none,none,masculine,false
Hummus Club,stoner,none,none,none,false
Mustang Band Club,tryhard,none,none,none,false
SLO GLO,stonner,none,none,none,false
Music Production Union,normie,none,none,none,false
CP Drag Club,alternative,none,none,masculine,false
Club 34,alternative,none,none,none,false
SLO Breakers,alternative,nonw,nonw,none,false
