,School,City,County,Religion
0,Alameda Community Learning Center,Alameda,alameda,None
1,Alameda High School,Alameda,alameda,None
2,Alameda Science and Technology Institute,Alameda,alameda,None
3,Encinal High School,Alameda,alameda,None
4,Island High School,Alameda,alameda,None
5,Albany High School,Alameda,alameda,None
6,MacGregor High School,Alameda,alameda,None
7,Berkeley High School,Alameda,alameda,None
8,Castro Valley High School,Alameda,alameda,None
9,Redwood Alternative High School,Alameda,alameda,None
10,Dublin High School,Alameda,alameda,None
11,Emery Secondary School,Alameda,alameda,None
12,American High School,Alameda,alameda,None
13,Irvington High School,Alameda,alameda,None
14,John F. Kennedy High School,Alameda,alameda,None
15,Mission San Jose High School,Alameda,alameda,None
16,Washington High School,Alameda,alameda,None
17,Hayward High School,Alameda,alameda,None
18,Mount Eden High School,Alameda,alameda,None
19,Sunset High School,Alameda,alameda,None
20,Tennyson High School,Alameda,alameda,None
21,Granada High School,Alameda,alameda,None
22,Livermore High School,Alameda,alameda,None
23,Conley-Caraballo High School,Hayward,alameda,None
24,James Logan High School,Union City,alameda,None
25,Newark Memorial High School,Alameda,alameda,None
26,Bay Area Technology School,Alameda,alameda,None
27,Castlemont Community of Small Schools,Alameda,alameda,None
28,Fremont Federation of High Schools,Alameda,alameda,None
29,McClymonds Educational Complex,Alameda,alameda,None
30,Oakland High School,Alameda,alameda,None
31,Oakland International High School,Alameda,alameda,None
32,Oakland Military Institute,Alameda,alameda,None
33,Oakland School for the Arts,Alameda,alameda,None
34,Oakland Technical High School,Alameda,alameda,None
35,Skyline High School,Alameda,alameda,None
36,University Preparatory Charter Academy,Alameda,alameda,None
37,Millennium High School,Alameda,alameda,None
38,Piedmont High School,Alameda,alameda,None
39,Amador Valley High School,Alameda,alameda,None
40,Foothill High School,Alameda,alameda,None
41,Horizon High School,Alameda,alameda,None
42,Village High School,Alameda,alameda,None
43,Lincoln High School,Alameda,alameda,None
44,San Leandro High School,Alameda,alameda,None
45,Arroyo High School,Alameda,alameda,None
