,School,City,County
0,Alameda Community Learning Center,Alameda,Alameda County
1,Alameda High School,Alameda,Alameda County
2,Alameda Science and Technology Institute,Alameda,Alameda County
3,Encinal High School,Alameda,Alameda County
4,Island High School,Alameda,Alameda County
5,Albany High School,Albany,Alameda County
6,MacGregor High School,Albany,Alameda County
7,Berkeley High School,Berkeley,Alameda County
8,Castro Valley High School,Castro Valley,Alameda County
9,Redwood Alternative High School,Castro Valley,Alameda County
10,Dublin High School,Dublin,Alameda County
11,Emery Secondary School,Emeryville,Alameda County
12,American High School,Fremont,Alameda County
13,Irvington High School,Fremont,Alameda County
14,John F. Kennedy High School,Fremont,Alameda County
15,Mission San Jose High School,Fremont,Alameda County
16,Washington High School,Fremont,Alameda County
17,Hayward High School,Hayward,Alameda County
18,Mount Eden High School,Hayward,Alameda County
19,Sunset High School,Hayward,Alameda County
20,Tennyson High School,Hayward,Alameda County
21,Granada High School,Livermore,Alameda County
22,Livermore High School,Livermore,Alameda County
23,Conley-Caraballo High School,Hayward,Alameda County
24,James Logan High School,Union City,Alameda County
25,Newark Memorial High School,Newark,Alameda County
26,Bay Area Technology School,Oakland,Alameda County
27,Castlemont Community of Small Schools,Oakland,Alameda County
28,Fremont Federation of High Schools,Oakland,Alameda County
29,McClymonds Educational Complex,Oakland,Alameda County
30,Oakland High School,Oakland,Alameda County
31,Oakland International High School,Oakland,Alameda County
32,Oakland Military Institute,Oakland,Alameda County
33,Oakland School for the Arts,Oakland,Alameda County
34,Oakland Technical High School,Oakland,Alameda County
35,Skyline High School,Oakland,Alameda County
36,University Preparatory Charter Academy,Oakland,Alameda County
37,Millennium High School,Piedmont,Alameda County
38,Piedmont High School,Piedmont,Alameda County
39,Amador Valley High School,Pleasanton,Alameda County
40,Foothill High School,Pleasanton,Alameda County
41,Horizon High School,Pleasanton,Alameda County
42,Village High School,Pleasanton,Alameda County
43,Lincoln High School,San Leandro,Alameda County
44,San Leandro High School,San Leandro,Alameda County
45,Arroyo High School,San Lorenzo,Alameda County
46,San Lorenzo High School,San Lorenzo,Alameda County
47,Schools not administered by Alameda County public school districts,San Lorenzo,Alameda County
48,Roman Catholic Diocese of Oakland,various cities in the East Bay,Alameda County
49,Bishop O'Dowd High School,Oakland,Alameda County
50,Holy Names High School,Oakland,Alameda County
51,Moreau Catholic High School,Hayward,Alameda County
52,St. Elizabeth High School,Oakland,Alameda County
53,St. Joseph Notre Dame High School,Alameda,Alameda County
54,St. Mary's College High School,Albany,Alameda County
55,Alameda Community Learning Center,Alameda,Alameda County
56,Averroes High School,Fremont,Alameda County
57,Chinese Christian Schools,San Leandro,Alameda County
58,The College Preparatory School,Oakland,Alameda County
59,Emery High School,Emeryville,Alameda County
60,Head-Royce School,Oakland,Alameda County
61,Maybeck High School,Berkeley,Alameda County
62,The Quarry Lane School,Dublin,Alameda County
63,Valley Christian School,Dublin,Alameda County
64,Bear Valley High School,Bear Valley,Alpine County
65,Woodfords High School,Markleeville,Alpine County
66,Amador High School,Sutter Creek,Amador County
67,Argonaut High School,Jackson,Amador County
68,Biggs High School,Biggs,Butte County
69,Chico High School,Chico,Butte County
70,Couture High School,Oroville,Butte County
71,Durham High School,Durham,Butte County
72,Gridley High School,Gridley,Butte County
73,Las Plumas High School,Oroville,Butte County
74,Oroville High School,Oroville,Butte County
75,Paradise High School,Paradise,Butte County
76,Pleasant Valley High School,Chico,Butte County
77,Arnold High School,Arnold,Calaveras County
78,Bret Harte Union High School,Angels Camp,Calaveras County
79,Calaveras High School,San Andreas,Calaveras County
80,Copper Cove High School,Copperopolis,Calaveras County
81,Colusa High School,Colusa,Colusa County
82,Maxwell High School,Maxwell,Colusa County
83,Pierce High School,Sudhir,Colusa County
84,Williams High School,Williams,Colusa County
85,Acalanes High School,Lafayette,Contra Costa County
86,Campolindo High School,Moraga,Contra Costa County
87,Las Lomas High School,Walnut Creek,Contra Costa County
88,Miramonte High School,Orinda,Contra Costa County
89,Antioch High School,Antioch,Contra Costa County
90,Deer Valley High School,Antioch,Contra Costa County
91,Dozier-Libbey Medical High School,Antioch,Contra Costa County
92,John Swett High School,Crockett,Contra Costa County
93,Willow High School,Crockett,Contra Costa County
94,Clayton Valley High School,Concord,Contra Costa County
95,College Park High School,Pleasant Hill,Contra Costa County
96,Concord High School,Concord,Contra Costa County
