Cohort,Cohort Total Count,College,Gender,Federal Ethnicity,N,% of Col1,% of Pop
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Asian,19,19,19
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Hispanic Latino,8,8,8
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Multi,7,7,7
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Non-Resident,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,Unknown,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Female,White,19,19,19
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Asian,49,49,49
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Hispanic Latino,19,19,19
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Multi,15,15,15
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Non-Resident,4,4,4
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Pacific Islander,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,Unknown,5,5,5
First-Time Freshmen Fall 2016,4331,College of Engineering,Male,White,105,105,105
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,African American,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Asian,28,28,28
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Hispanic Latino,9,9,9
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Multi,7,7,7
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Non-Resident,3,3,3
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,Unknown,3,3,3
First-Time Freshmen Fall 2017,5242,College of Engineering,Female,White,20,20,20
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,African American,4,4,4
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Asian,79,79,79
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Hispanic Latino,26,26,26
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Multi,29,29,29
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Non-Resident,7,7,7
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Pacific Islander,2,2,2
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,Unknown,7,7,7
First-Time Freshmen Fall 2017,5242,College of Engineering,Male,White,142,142,142
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,African American,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Asian,15,15,15
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Hispanic Latino,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Multi,6,6,6
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,Non-Resident,7,7,7
First-Time Freshmen Fall 2018,4378,College of Engineering,Female,White,20,20,20
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Asian,48,48,48
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Hispanic Latino,20,20,20
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Multi,12,12,12
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Non-Resident,8,8,8
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,Unknown,5,5,5
First-Time Freshmen Fall 2018,4378,College of Engineering,Male,White,87,87,87
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,African American,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Asian,28,28,28
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Hispanic Latino,7,7,7
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Multi,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Native American,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Non-Resident,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,Unknown,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Female,White,16,16,16
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,African American,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Asian,63,63,63
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Hispanic Latino,20,20,20
First-Time Freshmen Fall 2019,4599,College of Engineering,Male,Multi,17,17,17
