Cohort,Cohort Total Count,College,Geographic Area,Federal Ethnicity,N,% of Col1,% of Pop
First-Time Freshmen Fall 2016,4331,College of Engineering,Central Coast,Asian,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Central Coast,Hispanic Latino,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Central Coast,Multi,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,Central Coast,White,9,9,9
First-Time Freshmen Fall 2016,4331,College of Engineering,Foreign Countries,Asian,3,3,3
First-Time Freshmen Fall 2016,4331,College of Engineering,Foreign Countries,Non-Resident,4,4,4
First-Time Freshmen Fall 2016,4331,College of Engineering,Los Angeles,Asian,13,13,13
First-Time Freshmen Fall 2016,4331,College of Engineering,Los Angeles,Hispanic Latino,7,7,7
First-Time Freshmen Fall 2016,4331,College of Engineering,Los Angeles,Multi,7,7,7
First-Time Freshmen Fall 2016,4331,College of Engineering,Los Angeles,Unknown,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Los Angeles,White,14,14,14
First-Time Freshmen Fall 2016,4331,College of Engineering,Other CA Counties,Hispanic Latino,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,Other CA Counties,Non-Resident,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,Other CA Counties,Unknown,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,Other CA Counties,White,4,4,4
First-Time Freshmen Fall 2016,4331,College of Engineering,Other US States,Asian,4,4,4
First-Time Freshmen Fall 2016,4331,College of Engineering,Other US States,Hispanic Latino,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Other US States,Multi,6,6,6
First-Time Freshmen Fall 2016,4331,College of Engineering,Other US States,Unknown,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,Other US States,White,50,50,50
First-Time Freshmen Fall 2016,4331,College of Engineering,Sacramento Area,Asian,6,6,6
First-Time Freshmen Fall 2016,4331,College of Engineering,Sacramento Area,Hispanic Latino,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,Sacramento Area,White,7,7,7
First-Time Freshmen Fall 2016,4331,College of Engineering,San Diego,Asian,4,4,4
First-Time Freshmen Fall 2016,4331,College of Engineering,San Diego,Hispanic Latino,3,3,3
First-Time Freshmen Fall 2016,4331,College of Engineering,San Diego,Multi,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,San Diego,Unknown,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,San Diego,White,4,4,4
First-Time Freshmen Fall 2016,4331,College of Engineering,San Francisco Bay Area,Asian,36,36,36
First-Time Freshmen Fall 2016,4331,College of Engineering,San Francisco Bay Area,Hispanic Latino,8,8,8
First-Time Freshmen Fall 2016,4331,College of Engineering,San Francisco Bay Area,Multi,5,5,5
First-Time Freshmen Fall 2016,4331,College of Engineering,San Francisco Bay Area,Pacific Islander,1,1,1
First-Time Freshmen Fall 2016,4331,College of Engineering,San Francisco Bay Area,Unknown,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,San Francisco Bay Area,White,31,31,31
First-Time Freshmen Fall 2016,4331,College of Engineering,San Joaquin,Hispanic Latino,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,San Joaquin,Multi,2,2,2
First-Time Freshmen Fall 2016,4331,College of Engineering,San Joaquin,White,5,5,5
First-Time Freshmen Fall 2017,5242,College of Engineering,Central Coast,Hispanic Latino,6,6,6
First-Time Freshmen Fall 2017,5242,College of Engineering,Central Coast,Pacific Islander,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Central Coast,White,13,13,13
First-Time Freshmen Fall 2017,5242,College of Engineering,Foreign Countries,Asian,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Foreign Countries,Non-Resident,7,7,7
First-Time Freshmen Fall 2017,5242,College of Engineering,Los Angeles,Asian,22,22,22
First-Time Freshmen Fall 2017,5242,College of Engineering,Los Angeles,Hispanic Latino,11,11,11
First-Time Freshmen Fall 2017,5242,College of Engineering,Los Angeles,Multi,6,6,6
First-Time Freshmen Fall 2017,5242,College of Engineering,Los Angeles,Non-Resident,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Los Angeles,Pacific Islander,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Los Angeles,Unknown,2,2,2
First-Time Freshmen Fall 2017,5242,College of Engineering,Los Angeles,White,21,21,21
First-Time Freshmen Fall 2017,5242,College of Engineering,Other CA Counties,Asian,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Other CA Counties,Hispanic Latino,2,2,2
First-Time Freshmen Fall 2017,5242,College of Engineering,Other CA Counties,Multi,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Other CA Counties,Unknown,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Other CA Counties,White,8,8,8
First-Time Freshmen Fall 2017,5242,College of Engineering,Other US States,African American,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Other US States,Asian,11,11,11
First-Time Freshmen Fall 2017,5242,College of Engineering,Other US States,Hispanic Latino,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Other US States,Multi,10,10,10
First-Time Freshmen Fall 2017,5242,College of Engineering,Other US States,Unknown,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Other US States,White,59,59,59
First-Time Freshmen Fall 2017,5242,College of Engineering,Sacramento Area,African American,2,2,2
First-Time Freshmen Fall 2017,5242,College of Engineering,Sacramento Area,Asian,8,8,8
First-Time Freshmen Fall 2017,5242,College of Engineering,Sacramento Area,Hispanic Latino,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Sacramento Area,Multi,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,Sacramento Area,White,9,9,9
First-Time Freshmen Fall 2017,5242,College of Engineering,San Diego,African American,2,2,2
First-Time Freshmen Fall 2017,5242,College of Engineering,San Diego,Asian,7,7,7
First-Time Freshmen Fall 2017,5242,College of Engineering,San Diego,Hispanic Latino,4,4,4
First-Time Freshmen Fall 2017,5242,College of Engineering,San Diego,Multi,4,4,4
First-Time Freshmen Fall 2017,5242,College of Engineering,San Diego,Non-Resident,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,San Diego,Unknown,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,San Diego,White,8,8,8
First-Time Freshmen Fall 2017,5242,College of Engineering,San Francisco Bay Area,Asian,53,53,53
First-Time Freshmen Fall 2017,5242,College of Engineering,San Francisco Bay Area,Multi,12,12,12
First-Time Freshmen Fall 2017,5242,College of Engineering,San Francisco Bay Area,Non-Resident,1,1,1
First-Time Freshmen Fall 2017,5242,College of Engineering,San Francisco Bay Area,Unknown,5,5,5
First-Time Freshmen Fall 2017,5242,College of Engineering,San Francisco Bay Area,White,34,34,34
First-Time Freshmen Fall 2017,5242,College of Engineering,San Joaquin,Asian,4,4,4
First-Time Freshmen Fall 2017,5242,College of Engineering,San Joaquin,Hispanic Latino,10,10,10
First-Time Freshmen Fall 2017,5242,College of Engineering,San Joaquin,Multi,2,2,2
First-Time Freshmen Fall 2017,5242,College of Engineering,San Joaquin,White,10,10,10
First-Time Freshmen Fall 2018,4378,College of Engineering,Central Coast,Asian,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Central Coast,Hispanic Latino,2,2,2
First-Time Freshmen Fall 2018,4378,College of Engineering,Central Coast,Multi,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Central Coast,Unknown,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Central Coast,White,8,8,8
First-Time Freshmen Fall 2018,4378,College of Engineering,Foreign Countries,Asian,4,4,4
First-Time Freshmen Fall 2018,4378,College of Engineering,Foreign Countries,Non-Resident,12,12,12
First-Time Freshmen Fall 2018,4378,College of Engineering,Los Angeles,Asian,8,8,8
First-Time Freshmen Fall 2018,4378,College of Engineering,Los Angeles,Hispanic Latino,8,8,8
First-Time Freshmen Fall 2018,4378,College of Engineering,Los Angeles,Multi,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Los Angeles,White,17,17,17
First-Time Freshmen Fall 2018,4378,College of Engineering,Other CA Counties,African American,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Other CA Counties,Asian,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Other CA Counties,Hispanic Latino,2,2,2
First-Time Freshmen Fall 2018,4378,College of Engineering,Other CA Counties,White,2,2,2
First-Time Freshmen Fall 2018,4378,College of Engineering,Other US States,Asian,5,5,5
First-Time Freshmen Fall 2018,4378,College of Engineering,Other US States,Hispanic Latino,2,2,2
First-Time Freshmen Fall 2018,4378,College of Engineering,Other US States,Multi,8,8,8
First-Time Freshmen Fall 2018,4378,College of Engineering,Other US States,Unknown,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Other US States,White,43,43,43
First-Time Freshmen Fall 2018,4378,College of Engineering,Sacramento Area,Asian,10,10,10
First-Time Freshmen Fall 2018,4378,College of Engineering,Sacramento Area,Hispanic Latino,2,2,2
