
club,personality,religon,race,gender,
FinTech,brogrammer,none,none,masculine
Mobile App Dev Club,normie,none,none,none
SLO Hacks,tryhard,none,none,none
SHPE,normie,none,hispanic
WISH,brogrammer,none,none,feminine
WISH,tryhard,none,none,feminine
Studio Art Club,alternative,none,none,none
American Indian Science & Engineering Society,normie,none,native american,none
Color Coded,normie,none,asian,none
Color Coded,normie,none,hispanic,none
Color Coded,normie,none,native american,none
Color Coded,normie,none,black,none
Game Development Club - Cal Poly,nerd,none,none,none
Society of Women Engineers,tryhard,none,none,feminine
White Hat,tryhard,none,none,none
Cru,normie,Christian,none,none
Hillel of SLO,normie,jewish,none,none
Newman Catholic Club,normie,catholic,none,none
Asian American Christian Fellowship,normie,christian,asain,none
Alliance of Happy Atheists,nerd,athiest,none,none
Chabad Student Group,normie,jewish,none,none
Christian Students,normie,christian,none,none
Muslim Students Association,normie,muslim,none,none
Black Student Union,tryhard,none,black,none
American Indian Students Association,tryhard,native american,none,none
National Society of Black Engineers,normie,black,none,none
Computer Science and Artificial Intelligence club, tryhard,none,none,none
Greek Week Committee, brogrammer,none,none
Music Appreciation Club, normie,none,none
Photography Club,normie,none,none,none
PolyCon Committee,nerd,none,none,none
Ukulele Club,stoner,none,none,none
Ukulele Club,alternative,none,none,none
Yu-Gi-Oh Club,nerd,none,none,masculine
Hummus Club,stoner,none,none,none
Mustang Band Club,tryhard,none,none,none
SLO GLO,stonner,none,none,none
Music Production Union,normie,none,none,none
CP Drag Club,alternative,none,none,masculine
Club 34,alternative,none,none,none
SLO Breakers,alternative,nonw,nonw,none
