,School,City,County
0,Alameda Community Learning Center,Alameda,alameda
1,Alameda High School,Alameda,alameda
2,Alameda Science and Technology Institute,Alameda,alameda
3,Encinal High School,Alameda,alameda
4,Island High School,Alameda,alameda
5,Albany High School,Alameda,alameda
6,MacGregor High School,Alameda,alameda
7,Berkeley High School,Alameda,alameda
8,Castro Valley High School,Alameda,alameda
9,Redwood Alternative High School,Alameda,alameda
10,Dublin High School,Alameda,alameda
11,Emery Secondary School,Alameda,alameda
12,American High School,Alameda,alameda
13,Irvington High School,Alameda,alameda
14,John F. Kennedy High School,Alameda,alameda
15,Mission San Jose High School,Alameda,alameda
16,Washington High School,Alameda,alameda
17,Hayward High School,Alameda,alameda
18,Mount Eden High School,Alameda,alameda
19,Sunset High School,Alameda,alameda
20,Tennyson High School,Alameda,alameda
21,Granada High School,Alameda,alameda
22,Livermore High School,Alameda,alameda
23,Conley-Caraballo High School,Hayward,alameda
24,James Logan High School,Union City,alameda
25,Newark Memorial High School,Alameda,alameda
26,Bay Area Technology School,Alameda,alameda
27,Castlemont Community of Small Schools,Alameda,alameda
28,Fremont Federation of High Schools,Alameda,alameda
29,McClymonds Educational Complex,Alameda,alameda
30,Oakland High School,Alameda,alameda
31,Oakland International High School,Alameda,alameda
32,Oakland Military Institute,Alameda,alameda
33,Oakland School for the Arts,Alameda,alameda
34,Oakland Technical High School,Alameda,alameda
35,Skyline High School,Alameda,alameda
36,University Preparatory Charter Academy,Alameda,alameda
37,Millennium High School,Alameda,alameda
38,Piedmont High School,Alameda,alameda
39,Amador Valley High School,Alameda,alameda
40,Foothill High School,Alameda,alameda
41,Horizon High School,Alameda,alameda
42,Village High School,Alameda,alameda
43,Lincoln High School,Alameda,alameda
44,San Leandro High School,Alameda,alameda
45,Arroyo High School,Alameda,alameda
46,San Lorenzo High School,Alameda,alameda
47,Schools not administered by Alameda County public school districts,Alameda,alameda
48,Roman Catholic Diocese of Oakland,various cities in the East Bay,alameda
49,Bishop O'Dowd High School,Oakland,alameda
50,Holy Names High School,Oakland,alameda
51,Moreau Catholic High School,Hayward,alameda
52,St. Elizabeth High School,Oakland,alameda
53,St. Joseph Notre Dame High School,Alameda,alameda
54,St. Mary's College High School,Albany,alameda
55,Alameda Community Learning Center,Alameda,alameda
56,Averroes High School,Fremont,alameda
57,Chinese Christian Schools,San Leandro,alameda
58,The College Preparatory School,Oakland,alameda
59,Emery High School,Emeryville,alameda
60,Head-Royce School,Oakland,alameda
61,Maybeck High School,Berkeley,alameda
62,The Quarry Lane School,Dublin,alameda
63,Valley Christian School,Dublin,alameda
64,Bear Valley High School,Bear Valley,alpine
65,Woodfords High School,Markleeville,alpine
66,Amador High School,Sutter Creek,amador
67,Argonaut High School,Jackson,amador
68,Biggs High School,Biggs,butte
69,Chico High School,Chico,butte
70,Couture High School,Oroville,butte
71,Durham High School,Durham,butte
72,Gridley High School,Gridley,butte
73,Las Plumas High School,Oroville,butte
74,Oroville High School,Oroville,butte
75,Paradise High School,Paradise,butte
76,Pleasant Valley High School,Chico,butte
77,Arnold High School,Arnold,calaveras
78,Bret Harte Union High School,Angels Camp,calaveras
79,Calaveras High School,San Andreas,calaveras
80,Copper Cove High School,Copperopolis,calaveras
81,Colusa High School,Colusa,colusa
82,Maxwell High School,Maxwell,colusa
83,Pierce High School,Sudhir,colusa
84,Williams High School,Williams,colusa
85,Acalanes High School,Lafayette,contra costa
86,Campolindo High School,Moraga,contra costa
87,Las Lomas High School,Walnut Creek,contra costa
88,Miramonte High School,Orinda,contra costa
89,Antioch High School,Antioch,contra costa
90,Deer Valley High School,Antioch,contra costa
91,Dozier-Libbey Medical High School,Antioch,contra costa
92,John Swett High School,Crockett,contra costa
93,Willow High School,Crockett,contra costa
94,Clayton Valley High School,Concord,contra costa
95,College Park High School,Pleasant Hill,contra costa
96,Concord High School,Concord,contra costa
97,Mount Diablo High School,Concord,contra costa
98,Northgate High School,Walnut Creek,contra costa
99,Ygnacio Valley High School,Concord,contra costa
100,De Anza High School,Richmond,contra costa
101,El Cerrito High School,El Cerrito,contra costa
102,Hercules High School,Hercules,contra costa
103,Kennedy High School,Richmond,contra costa
104,Middle College High School,San Pablo,contra costa
105,Pinole Valley High School,Pinole,contra costa
106,Richmond High School,Richmond,contra costa
107,Alhambra High School,Martinez,contra costa
108,The Athenian School,Danville,contra costa
109,Bentley School,Lafayette,contra costa
110,Berean Christian High School,Walnut Creek,contra costa
111,California High School,San Ramon,contra costa
112,Carondelet High School,Concord,contra costa
113,Christ the King Catholic School,Pleasant Hill,contra costa
114,De La Salle High School,Concord,contra costa
115,Delta Christian Junior/Senior High School,Antioch,contra costa
116,Dougherty Valley High School,San Ramon,contra costa
117,El Sobrante Christian School,El Sobrante,contra costa
118,Freedom High School,Oakley,contra costa
119,Heritage High School,Brentwood,contra costa
120,Holden High School,Orinda,contra costa
121,Independence High School,Brentwood,contra costa
122,Liberty High School,Brentwood,contra costa
123,Monte Vista High School,Danville,contra costa
124,Orinda Academy,Orinda,contra costa
125,Pittsburg High School,Pittsburg,contra costa
126,Pleasant Hill Adventist Academy,Pleasant Hill,contra costa
127,Salesian College Preparatory,Richmond,contra costa
128,San Ramon Valley High School,Danville,contra costa
129,Del Norte High School,Crescent City,del norte
130,El Dorado Adventist School,Placerville,el dorado
131,El Dorado High School,Placerville,el dorado
132,Golden Sierra High School,Garden Valley,el dorado
133,Muir Charter School,Placerville,el dorado
134,Oak Ridge High School,El Dorado Hills,el dorado
135,Ponderosa High School,Shingle Springs,el dorado
136,Shenandoah High School,El Dorado,el dorado
137,South Tahoe High School,South Lake Tahoe,el dorado
138,Union Mine High School,El Dorado,el dorado
139,Vista High School,Placerville,el dorado
140,Buchanan High School,Clovis,fresno
141,Clovis East High School,Clovis,fresno
142,Clovis High School,Clovis,fresno
143,Clovis North High School,Fresno,fresno
144,Clovis West High School,Fresno,fresno
145,Bullard High School,Fresno,fresno
146,The Center for Advanced Research and Technology,Fresno,fresno
147,Erma Duncan Polytechnical High School,Fresno,fresno
148,Edison High School,Fresno,fresno
149,Fresno High School,Fresno,fresno
150,Herbert Hoover High School,Fresno,fresno
151,McLane High School,Fresno,fresno
152,Roosevelt High School,Fresno,fresno
153,Sunnyside High School,Fresno,fresno
